tabela,wiersze,braki_NULL,uwagi
orders,80000,"{'order_id': 0, 'user_id': 0, 'order_date': 0, 'status': 0, 'seller_id': 0, 'total_amount': 0}",Kolumna 'order_id' ma unikalne wartości w podglądzie; Kolumna 'user_id' ma unikalne wartości w podglądzie; Kolumna 'order_date' ma unikalne wartości w podglądzie; Kolumna 'seller_id' ma unikalne wartości w podglądzie; Kolumna 'total_amount' ma unikalne wartości w podglądzie
order_items,219702,"{'order_item_id': 0, 'order_id': 0, 'product_id': 0, 'quantity': 0, 'line_total': 0}",Kolumna 'order_item_id' ma unikalne wartości w podglądzie; Kolumna 'product_id' ma unikalne wartości w podglądzie; Kolumna 'line_total' ma unikalne wartości w podglądzie
sessions,100000,"{'session_id': 0, 'user_id': 0, 'device_type': 0, 'session_start': 0, 'session_end': 0, 'duration_seconds': 0, 'pages_viewed': 0, 'traffic_source': 0}",Kolumna 'session_id' ma unikalne wartości w podglądzie; Kolumna 'user_id' ma unikalne wartości w podglądzie; Kolumna 'session_start' ma unikalne wartości w podglądzie; Kolumna 'session_end' ma unikalne wartości w podglądzie; Kolumna 'duration_seconds' ma unikalne wartości w podglądzie
events,200000,"{'event_id': 0, 'session_id': 0, 'event_type': 0, 'event_timestamp': 0, 'product_id': 2, 'seller_id': 2}",Kolumna 'event_id' ma unikalne wartości w podglądzie; Kolumna 'session_id' ma unikalne wartości w podglądzie; Kolumna 'event_timestamp' ma unikalne wartości w podglądzie
users,10000,"{'user_id': 0, 'first_name': 0, 'last_name': 0, 'email': 0, 'city': 0, 'registration_date': 0, 'is_active': 0}",Kolumna 'user_id' ma unikalne wartości w podglądzie; Kolumna 'first_name' ma unikalne wartości w podglądzie; Kolumna 'last_name' ma unikalne wartości w podglądzie; Kolumna 'email' ma unikalne wartości w podglądzie; Kolumna 'city' ma unikalne wartości w podglądzie; Kolumna 'registration_date' ma unikalne wartości w podglądzie
sellers,75,"{'seller_id': 0, 'seller_name': 0, 'location': 5, 'rating': 0, 'seller_id;seller_name;city;rating;join_date': 5, 'city': 0, 'join_date': 0}",Kolumna 'seller_id' ma unikalne wartości w podglądzie; Kolumna 'seller_name' ma unikalne wartości w podglądzie; Kolumna 'rating' ma unikalne wartości w podglądzie; Kolumna 'city' ma unikalne wartości w podglądzie; Kolumna 'join_date' ma unikalne wartości w podglądzie
products,2000,"{'product_id': 0, 'seller_id': 0, 'product_name': 0, 'category': 0, 'price': 0, 'stock_quantity': 5, 'stock': 0}",Kolumna 'product_id' ma unikalne wartości w podglądzie; Kolumna 'seller_id' ma unikalne wartości w podglądzie; Kolumna 'product_name' ma unikalne wartości w podglądzie; Kolumna 'price' ma unikalne wartości w podglądzie; Kolumna 'stock' ma unikalne wartości w podglądzie
